Latitude,Longitude,City,Metropolitan Statistical Area,Average Daily Rate (USD),Annual Revenue LTM (USD),Airbnb Superhost,Occupancy Rate LTM,Airbnb Host ID,Property ID,Property Type
18.31331,-65.31548,Culebra,NA,174.53,7505,TRUE,0.326,110896550,ab-35195466,Apartment
18.37345,-67.24671,Rincon,"Aguadilla-Isabela, PR Metro Area",40.08,7174,TRUE,0.683,191007068,ab-35195606,Townhouse
18.29491,-65.64542,Fajardo,"San Juan-Carolina-Caguas, PR Metro Area",116.23,3603,FALSE,0.337,192957257,ab-35195853,Condominium
18.45554,-66.07347,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",92,4692,FALSE,0.554,9609342,ab-35195976,Condominium
18.468,-66.115,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",144.62,34274,TRUE,0.71,205028679,ab-35196238,Apartment
18.43016,-65.86735,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",150,2400,FALSE,0.232,213038406,ab-35198306,Condominium
18.37112,-67.25755,Rincon,"Aguadilla-Isabela, PR Metro Area",360.98,16244,FALSE,0.549,31662325,ab-35198563,Apartment
18.31514,-65.31687,Culebra,NA,165.46,3640,TRUE,0.415,110896550,ab-35199345,Apartment
18.31533,-67.22155,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,253476079,ab-35199372,Apartment
18.02464,-67.1619,Boqueron,"San Germán, PR Metro Area",77.77,1011,FALSE,0.21,226714641,ab-35200842,Apartment
18.04,-67.18015,Boqueron,"San Germán, PR Metro Area",154.72,2785,FALSE,0.171,83309714,ab-35201445,Apartment
